IdCodigoBarras;IdProducto;CodigoBarras;ID_Sucursal
161;8111;7702215304661;30569
162;8109;7702215301721;30569
163;2026;7896255702584;30569
164;4591;7891010030889;30569
165;8760;7707267907501;30569
166;4807;7750021585934;30569
168;7495;7707200901177;30569
169;8128;7702215301424;30569
170;8698;7702090029154;30569
171;4593;7891010030094;30569
172;8506;7702031083795;30569
173;4808;7750021585927;30569
175;9163;7707233050361;30569
176;8915;7706142707052;30569
177;176;7702123001461;30569
178;9032;7702123010555;30569
179;8511;7702031515210;30569
180;11773;650240039324;30569
182;9534;7702678050891;30569
184;11089;7702152101231;30569
185;8762;7702011045454;30569
186;8562;7702027479632;30569
187;8563;7702027472046;30569
188;8564;7702027472053;30569
189;11122;7702007040227;30569
191;8649;7702870071724;30569
192;11843;7703712030480;30569
193;8569;7702027474767;30569
194;9551;7707200900347;30569
195;9964;7705822001138;30569
196;8572;7702027478604;30569
197;8647;736085410860;30569
198;4182;7804955097985;30569
199;8575;7702354033682;30569
200;7133;7702661351288;30569
201;8577;7702354939328;30569
202;8578;7702354939335;30569
203;8189;7506306226333;30569
204;8580;7702354941659;30569
205;8593;7702354941703;30569
206;9548;7702433305020;30569
207;8582;7702354941673;30569
208;8583;7702354931636;30569
209;8584;7702354932909;30569
210;8031;7707229971243;30569
211;9055;7702001104017;30569
212;8601;7702354937362;30569
213;8588;7702354939519;30569
214;8589;7702354937379;30569
215;8590;7702354937409;30569
217;2397;7707200900033;30569
219;8177;7506306232976;30569
221;9509;7509552909753;30569
222;7854;7702031604167;30569
223;8597;7702354931704;30569
224;8598;7702354930301;30569
225;3111;7707200900378;30569
226;11014;4005808922130;30569
227;9510;7509552911411;30569
228;5072;7506078932876;30569
229;6802;7702354031374;30569
230;5563;4005808041817;30569
231;9063;7707194530711;30569
232;8605;7702057102555;30569
233;7665;7707200902273;30569
234;8610;1206;30569
235;3798;7702027470226;30569
236;1245;7896261005211;30569
238;3233;7703283401702;30569
239;1341;7703153000462;30569
240;3043;7703381004348;30569
241;10485;7702425804814;30569
242;12538;7702870071823;30569
243;10659;7702006204057;30569
244;12216;7702026187859;30569
245;8435;4005900036728;30569
246;9791;7708930070157;30569
247;8262;7891150025950;30569
248;4580;7891010037024;30569
249;10570;7704768001547;30569
250;8057;7702354936358;30569
251;7255;7709830214061;30569
253;652;7451079000867;30569
255;2139;7702057010010;30569
257;8763;7702011242570;30569
258;8434;4005900374653;30569
259;10236;8411047643051;30569
260;4243;7702133514746;30569
261;9975;1269;30569
262;4747;7702007001846;30569
263;4676;42210276;30569
264;8809;10067;30569
265;10728;7703153028695;30569
266;9882;7702044246408;30569
269;9363;7707019352603;30569
270;7733;7702057160463;30569
272;8168;7506306237407;30569
273;8240;;30569
274;9556;7707200908596;30569
276;509;7702605103249;30569
277;7135;7702661351271;30569
278;2672;7706024001049;30569
279;3304;7707200908954;30569
280;8359;7703819264375;30569
281;8083;7707016404565;30569
282;2672;7706324001046;30569
283;2697;7703153017699;30569
285;11458;3920;30569
288;2400;7707200900101;30569
291;11357;7344;30569
292;2508;7896116860590;30569
294;7575;7704768000458;30569
295;9604;7707336722028;30569
296;8745;7702132018306;30569
297;1996;7703153008147;30569
298;8135;7509552912883;30569
299;8538;7702044246897;30569
301;5009;4005808850617;30569
302;11313;037;30569
305;10942;7703234102771;30569
306;8458;7707230996976;30569
309;8306;1107;30569
310;1060;7706569000552;30569
311;9072;200022630;30569
312;8632;7707239275737;30569
313;5027;7702045524970;30569
314;9601;7706309001115;30569
315;8386;4005900315847;30569
316;8856;7702045556834;30569
317;11604;52071;30569
318;8451;7453010000240;30569
319;8531;7702044164856;30569
320;9056;7702425807709;30569
321;3299;;30569
324;9116;932;30569
325;9201;7702354940980;30569
326;10839;7702425809208;30569
327;9124;728;30569
328;10838;7702026180140;30569
329;9130;505;30569
330;7579;7704768000861;30569
331;9132;7705366100106;30569
332;5026;7702045524581;30569
333;8520;7506205808999;30569
334;3547;7706263000780;30569
338;12531;7706659501709;30569
340;569;7702605102297;30569
341;9917;7702010921575;30569
344;4032;7702035432339;30569
345;9160;7709990384949;30569
346;10968;7704768003855;30569
348;6053;7702354027711;30569
349;7014;7702354030780;30569
350;10990;7707062800144;30569
351;11342;8703;30569
352;10828;7707016405180;30569
353;8096;7709171943569;30569
354;8452;008;30569
355;10842;7703186032461;30569
356;11429;8348;30569
358;9399;7509546063645;30569
359;9423;7509546052755;30569
360;7929;7706569021786;30569
361;9016;7702189050502;30569
362;1623;7702057088552;30569
363;9592;7702425801387;30569
364;8428;42332886;30569
365;8939;7509546066226;30569
366;8862;7702045553130;30569
368;8995;78931640;30569
369;8146;7891150017351;30569
370;5632;7891037013629;30569
371;9645;7707270700908;30569
373;9821;7702057061319;30569
374;4815;7702045489835;30569
376;10994;7707062800212;30569
377;10985;7707062800649;30569
378;8935;328;30569
379;8134;7891150019430;30569
380;7477;7707200907957;30569
381;8788;307;30569
382;11225;0666;30569
383;7476;7707200907940;30569
384;8870;7702045554908;30569
385;8871;7702045527773;30569
386;8872;7702045554885;30569
387;8873;7702045527810;30569
388;11322;019962551628;30569
389;8731;7702045555462;30569
390;8883;7702045555271;30569
391;5663;75025922;30569
392;9825;7702001050277;30569
393;8879;7702045555363;30569
394;8881;7702045555110;30569
395;8880;7702045555370;30569
397;9827;100002050;30569
399;2289;7705451000175;30569
400;9306;7702433297257;30569
401;8886;7702045555431;30569
402;9311;7702433291279;30569
403;8097;7709769307629;30569
404;9498;7702186020072;30569
405;8196;7702006400978;30569
406;8684;7703799202077;30569
408;11462;7979;30569
409;9730;7709990613124;30569
410;8017;7707364802198;30569
411;7290;7703712031463;30569
412;9705;7702044255769;30569
413;11932;200023934;30569
414;7411;7703186030283;30569
415;2508;7702123002871;30569
416;10903;7703712019232;30569
417;8059;7702354940799;30569
418;10482;AGUA BOLSA;30569
420;8165;7791293028781;30569
421;3546;7706263000773;30569
422;3045;7703234100418;30569
423;9740;7709769307605;30569
425;7730;7702057276904;30569
427;9043;7702001050185;30569
429;11733;6449;30569
430;9043;7702001050154;30569
431;9043;7702001050178;30569
432;3328;7702035915566;30569
433;8855;7702045556858;30569
434;7534;7707200901290;30569
435;7643;7702626211794;30569
436;8523;7702024047612;30569
437;6852;7702024025719;30569
439;9887;7702044227933;30569
440;7618;7707200901702;30569
441;1579;7702057070014;30569
442;9788;FONKINK;30569
443;561;7702605102716;30569
444;9043;7702001050161;30569
445;9729;7707056201025;30569
446;8740;7707188220178;30569
447;10471;7707016403643;30569
448;3597;7705366500029;30569
449;8778;7702007039719;30569
450;11618;0501;30569
451;2618;7706569020437;30569
452;10436;650240032356;30569
453;9044;7702001113088;30569
454;9113;7803510001931;30569
455;5278;7707141301432;30569
456;9044;7702001113101;30569
458;7424;7707019466218;30569
459;4007;7501056325381;30569
460;10620;7709740450399;30569
461;8132;7702006200998;30569
462;10677;7703432425924;30569
463;7571;7707200909593;30569
465;8670;2011;30569
466;8678;2019;30569
467;10190;7708092371987;30569
468;1683;7702057837655;30569
469;8963;7702090044546;30569
470;8963;7702090044553;30569
471;8822;8697512323608;30569
472;11262;0181;30569
473;8963;7702090044539;30569
475;9017;7702050013025;30569
476;7530;7707200903126;30569
478;1002;7705486010002;30569
479;4732;77010629;30569
480;5532;7704987004176;30569
481;2030;7706569001665;30569
482;10042;7702914164009;30569
483;11004;7703153030520;30569
484;1448;7795345011202;30569
485;9009;7702050031982;30569
486;8298;1119;30569
487;9641;7707269910172;30569
488;9404;4891228550042;30569
489;9171;7702152102689;30569
490;8967;7703454123136;30569
491;9018;7702189051714;30569
492;7879;7702195712722;30569
493;11648;12456;30569
494;10475;7704768002551;30569
495;9172;7702152002224;30569
496;9173;11111;30569
497;2733;7707177972422;30569
498;8973;7707264461365;30569
499;8974;7707264461372;30569
500;9027;7703864000188;30569
501;8976;7709990063387;30569
502;8977;7702870101698;30569
503;4649;7702433289719;30569
504;4649;7702433169639;30569
505;9778;7702186023035;30569
506;4660;7702433292702;30569
507;4660;7702433228077;30569
508;2131;7702057019921;30569
509;7233;7703234104058;30569
510;9922;7707236129033;30569
511;7407;7707019413830;30569
512;2796;7707296100089;30569
513;2795;7707296100096;30569
514;9174;7702152100005;30569
516;8981;7703546293006;30569
517;9627;7702027479625;30569
519;6713;7707200908695;30569
520;7969;7703038065272;30569
521;7880;7702195084355;30569
522;12404;7707174320066;30569
523;9795;7703202221466;30569
525;7861;;30569
526;9575;079573105832;30569
527;9175;7702152008950;30569
528;9176;7702152008967;30569
529;9177;7702152009049;30569
530;9178;7702152003962;30569
531;9179;7702152001616;30569
532;12029;7702123011613;30569
533;9181;1125;30569
534;9182;999;30569
537;8684;7703799202039;30569
538;11877;4005808694044;30569
539;12003;ay;30569
540;9332;039800015464;30569
542;6986;7613032814229;30569
543;9790;7591066721020;30569
544;8472;7703186031341;30569
545;9929;7703432426211;30569
546;6260;7705471800816;30569
547;11274;1285;30569
548;1447;7795345010540;30569
549;8114;7702215301622;30569
550;1705;7702057014254;30569
551;8684;7703799202107;30569
552;8754;7702026175870;30569
553;9463;7702045557978;30569
555;9046;7702001051502;30569
556;9046;7702001051526;30569
559;9779;7702186023011;30569
560;9670;7702010921476;30569
561;7792;7707210530206;30569
563;7736;7702010410659;30569
564;12253;7707035510384;30569
565;7301;7707355053677;30569
566;9957;7707355054315;30569
567;3163;7707355051031;30569
568;9944;1197;30569
569;9924;7707236128517;30569
570;8192;7891150043220;30569
571;9781;7702186023110;30569
572;1850;7702184010280;30569
573;8134;7891150017337;30569
574;8198;7702006201544;30569
575;9344;7702152008127;30569
577;1380;7896226501833;30569
578;9728;7707056202015;30569
579;7525;7707056201056;30569
580;7478;7707200905779;30569
581;171;7503034010807;30569
582;445;7702184030257;30569
583;7770;7509546053875;30569
584;3804;7702027042010;30569
585;11281;1456;30569
586;9403;7707145302947;30569
587;9664;7702277151821;30569
588;7823;7707355053332;30569
589;12219;7707670401054;30569
590;10827;7707773834698;30569
591;8813;7702152002248;30569
592;295;7703381003365;30569
593;3138;7707177972910;30569
594;5151;7702031169536;30569
595;9456;7702189039699;30569
597;1784;7702605103652;30569
599;10446;7707397790967;30569
600;7042;7506306241176;30569
601;7664;7702123008552;30569
602;4254;7703864000034;30569
603;4255;7703864000041;30569
604;4261;7703864000102;30569
605;4263;7703864000126;30569
606;10162;7702277109273;30569
607;1527;7702123008644;30569
608;9242;7704768000434;30569
609;7578;7702123009351;30569
610;993;7707173600084;30569
611;8778;7702007039696;30569
612;8545;3014260014445;30569
613;6273;3014260802189;30569
614;9438;3014260010980;30569
616;10768;7703153028084;30569
617;602;7702605103164;30569
618;4069;7702132002909;30569
619;7612;7707200907506;30569
620;5254;7702094510061;30569
621;12325;7891024019610;30569
622;9630;7702027478703;30569
623;9468;7702001104031;30569
624;6989;7613032975234;30569
625;9595;7702031611622;30569
626;2689;7703381002146;30569
628;8937;7509546045344;30569
629;5525;7707181105915;30569
631;9683;7702045562958;30569
632;9508;7509552913026;30569
633;8076;7702123006701;30569
634;10623;7707277580459;30569
635;6272;3014260802219;30569
636;8657;7707334710539;30569
637;7624;7702132010768;30569
638;9475;7707300932125;30569
639;9476;7707300932132;30569
640;1264;7703283183035;30569
641;1537;7702502255003;30569
642;9552;310742039504;30569
643;1370;7705713200046;30569
644;10203;1220;30569
645;7420;7707019479706;30569
647;7724;7702057013615;30569
648;8661;7703283404024;30569
649;9200;7709087022921;30569
650;10457;7707236122393;30569
652;2662;7703038050445;30569
655;1520;7702502011579;30569
657;8295;1106;30569
658;8528;7613033975714;30569
659;176;7702123006732;30569
660;9524;7705959884413;30569
661;10576;7702057707743;30569
662;11231;7702057707781;30569
663;9527;7707300934051;30569
664;3381;7703763993161;30569
666;1934;7896116860972;30569
667;310;4048846004451;30569
669;4384;7707145300523;30569
670;1276;7703283400330;30569
671;9071;7702011080424;30569
672;8181;27500435002442;30569
673;10116;100001965;30569
674;12461;8410412190015;30569
675;9437;7702045555806;30569
676;9541;7703166001289;30569
677;177;7702123006749;30569
678;250;7702973015083;30569
679;9564;7707336721755;30569
680;7582;7704768000939;30569
681;9547;7509552818031;30569
682;7342;7707019313109;30569
683;8192;7891150017368;30569
686;8274;75055738;30569
687;10067;7702277130871;30569
689;5632;789103701362978;30569
690;7385;7707019330229;30569
691;8168;7506306237414;30569
693;11669;1854;30569
694;8839;7702045557602;30569
695;11375;2133;30569
696;11624;1036;30569
697;11190;0229;30569
