IdCodigoBarras;IdProducto;CodigoBarras;ID_Sucursal
104;5393;7702003247231;30571
105;10306;7506195172216;30571
106;7916;7707200907797;30571
107;8142;7702045542776;30571
108;1615;7702057071905;30571
109;11462;7704768002704;30571
111;7322;7702870100448;30571
112;8622;2255;30571
113;7326;7613033975998;30571
114;9023;7702027472732;30571
115;8728;7509546052755;30571
116;52;7896255702867;30571
117;7348;3014260274917;30571
118;5530;7707181105991;30571
119;9397;7702425802995;30571
120;657;7707172681183;30571
122;6944;7707300933801;30571
123;3298;7702132008802;30571
124;7366;7702027444746;30571
125;9089;7703202993295;30571
126;5359;7702027444838;30571
127;7368;7702027435409;30571
128;3805;7702027041648;30571
130;1051;7702870000397;30571
131;11560;7702354946524;30571
132;2128;7702502014051;30571
133;4817;7703689000066;30571
134;7381;7702354931605;30571
135;8302;7705513003854;30571
136;8250;4005900012234;30571
137;7386;7702354932893;30571
138;686;7707179990073;30571
140;7778;;30571
141;7953;7702433229265;30571
142;8253;7707331801575;30571
143;8805;3337872412998;30571
144;9521;7706263000070;30571
146;10408;7891024036433;30571
148;10294;7703283405960;30571
149;4395;7702037202220;30571
150;3738;7707206270017;30571
151;8960;7707228367085;30571
152;7691;7707206423802;30571
154;8775;7707200901696;30571
155;8353;2000022924;30571
156;2113;7703763665013;30571
157;11094;7702118802509;30571
158;8378;7702425541504;30571
159;7694;7702195712722;30571
160;7695;7702195051814;30571
161;12115;7411000346174;30571
162;7403;7891058015800;30571
163;9086;7707186270601;30571
164;6704;7791293998619;30571
165;8902;7706569021786;30571
166;11358;7703153036416;30571
167;3286;7707350830112;30571
168;10379;7702123011019;30571
169;8209;7707228360291;30571
170;3416;7702031986782;30571
171;10150;7707019314236;30571
172;10519;7795312100090;30571
173;7586;;30571
174;8481;7506309839233;30571
175;8301;7707232090986;30571
176;7702;7702184110768;30571
177;442;77013699;30571
178;4486;7702045522037;30571
179;8328;7707200907605;30571
180;6040;650240004001;30571
181;7705;7703432422268;30571
182;7706;7703432424972;30571
183;1588;7702057070717;30571
184;1092;7705959006709;30571
185;11149;7798140252351;30571
186;3409;7702057184315;30571
187;4578;7891010031145;30571
188;8272;7707019340907;30571
189;4104;7705737000097;30571
190;7285;7707200901627;30571
191;10355;7707228362066;30571
192;8685;7506306233188;30571
193;8889;7707271451540;30571
194;7651;78934146;30571
195;8699;7702870100790;30571
196;550;7702605101351;30571
197;553;7702605101382;30571
198;7421;7702502015966;30571
199;555;7702605101436;30571
200;7738;7707200905618;30571
201;157;7591165880000;30571
202;8723;7702027444784;30571
203;564;7702605101856;30571
204;571;7702605101573;30571
206;9762;7709990680911;30571
207;1091;7706569000293;30571
208;2374;7707271451038;30571
209;1866;7702605101986;30571
210;2012;7702605103744;30571
211;9118;7702425801622;30571
212;10083;7707206423901;30571
213;604;7702605103140;30571
214;4553;7703109205040;30571
215;7536;7415100400187;30571
216;7400;7702354931650;30571
217;10419;;30571
218;9885;100022160;30571
219;1785;7702605104079;30571
220;9793;070942914147;30571
221;10956;1011974;30571
222;618;7702605102785;30571
224;617;7702605102662;30571
225;7409;7703197050072;30571
226;479;3499320000567;30571
227;8703;7702195076510;30571
228;12128;7704768003763;30571
229;8086;7707035511145;30571
230;5038;7702045525076;30571
231;3371;7703038050346;30571
232;7958;47;30571
233;8663;7702207310632;30571
234;3831;7707260162945;30571
235;7885;16;30571
236;7899;7702098009165;30571
237;1183;7706976000343;30571
238;7636;7791293025018;30571
239;9117;7707200901214;30571
240;9056;7702010921230;30571
241;4109;7707228360093;30571
242;2843;7707320980045;30571
